,PAPER_ID,Year,Title,Keywords,Abstract,SR,cr_title,cr_doi,cr_author,cr_journal,cr_score,cr_scoreauthor
1785,WEE HB 2017 REG STUD MAR SCI,2017,ZOANTHARIAN ABUNDANCE IN CORAL REEF BENTHIC COMMUNITIES AT TERENGGANU  ISLANDS MALAYSIA,REEF RESILIENCE DIVERSITY HARD CORAL HEXACORALLIA PREDATION ANTHOZOA RESILIENCE ZOANTHIDS SUBSTRATE RECOVERY FISH,ZOOXANTHELLATE ZOANTHARIANS OF THE GENERA ZOANTHUS AND PALYTHOA ARE  INCREASINGLY BEING STUDIED IN BASELINE WORK SUCH AS CONFIRMING  DISTRIBUTIONS AND LONG-TERM MONITORING STUDIES IN SHALLOW SUBTROPICAL  AND TROPICAL WATERS. THERE IS SOME EVIDENCE THAT SUGGESTS THAT THESE  GENERA INCREASE IN ABUNDANCE AS AN ECOLOGICAL `PHASE SHIFT' RESPONSE TO  ECOLOGICAL DEGRADATION. HOWEVER SUCH STUDIES HAVE BEEN LIMITED TO A FEW  REGIONS INCLUDING THE GREATER CARIBBEAN BRAZIL AND JAPAN WITH LITTLE  WORK PERFORMED IN THE WATERS OF SOUTHEAST ASIA AND THE CENTRAL  INDO-PACIFIC CIP. WE INVESTIGATED CHANGES IN ZOANTHARIAN COVER WITHIN  CORAL REEF BENTHIC COMMUNITIES AROUND TERENGGANU MALAYSIA BETWEEN JULY  2013 AND SEPTEMBER 2014 UTILIZING THE CORAL VIDEO TRANSECT METHOD TO  SURVEY THE BENTHIC COMMUNITIES OF NINE CORAL REEFS. ZOANTHARIAN  ABUNDANCE WAS OBSERVED TO BE INVERSELY PROPORTIONATE TO OTHER MAJOR  BENTHIC GROUPS ALGAE DEAD CORALS HARD CORALS. OVERALL ZOANTHARIANS  THRIVED IN REEFS WITH LOWER BIOLOGICAL DIVERSITY OF REEF-BUILDING  CORALS. ADDITIONALLY AT ONE SITE PASIR AKAR WE DOCUMENTED A VERY  SUDDEN AND LARGE INCREASE OF ZOANTHARIAN COVER OVER TWO MONTHS FROM  MARCH TO MAY 2014. THIS INCREASE OCCURRED AFTER THE REEF WAS HEAVILY  DAMAGED DURING MONSOON SEASON. OUR RESULTS DEMONSTRATE THAT ZOANTHARIANS  ARE AN UNDERSTUDIED YET COMMON MAJOR COMPONENT OF REEFS IN SOUTHEAST  ASIA AND THAT LARGE CHANGES IN THEIR ABUNDANCE CAN OCCUR VERY RAPIDLY.  FURTHER RESEARCH INVESTIGATING LONGER-TERM TRENDS OF ZOANTHARIAN  ABUNDANCE IN SOUTHEAST ASIA AND THE CIP ARE NEEDED TO ASCERTAIN IF  DRAMATIC INCREASES ARE PART OF A `NORMAL' RECOVERY PROCESS OR REPRESENT  PHASE SHIFTS IN THE BENTHIC COMMUNITY STRUCTURE OF CORAL REEFS. C 2017  ELSEVIER B.V. ALL RIGHTS RESERVED.,WEE HB 2017 REG STUD MAR SCI,"Zoantharian abundance in coral reef benthic communities at Terengganu Islands, Malaysia",10.1016/j.rsma.2017.02.005,FALSE,Regional Studies in Marine Science,0.977011494252874,0.2
494,DE MACEDO DIAS GT 2012 J COAST RES,2012,CORALLINE ALGAE DEPOSITIONAL ENVIRONMENTS ON THE BRAZILIAN  CENTRAL-SOUTH-EASTERN SHELF,DEPOSITIONAL ENVIRONMENTS SEDIMENT DYNAMICS COMMUNITY STRUCTURE OCEANOGRAPHIC PROCESSES ESPIRITO-SANTO STATE,"The Brazilian central shelf along the State of Espirito Santo features several palaeochannels eroded into deposits of coralline algae. Seismic profiles and jet-probe cores have shown a layer of calcareous sediments over 10 m thick that is formed mainly by the fragmentation of coralline algae. Video and scuba-diving observations demonstrate that dense aggregations of rhodoliths often change position on the sea bottom as a result of being dragged (""sail"" effect) by foliose algae such as Sargassum, Dictyopteris, and Zonaria. The benthic fauna associated with rhodoliths or foliose macroalgae (Hydrozoa and Amphipoda) is dominated by polychaetes, ophiuroids, and molluscs. The sessile fauna is poorly represented, consisting of some sponge species. It was possible to verify the following dynamics: (i) in summer, foliose macroalgae and zoobenthos (phytal) are established upon the rhodoliths; (ii) in early and midwinter, epiphytic macroalgae are senescent; (iii) in late winter, storms disturb sediments on the sea bottom, burying living rhodoliths and removing the foliose algae; and (iv) in spring, a bloom of the bivalvia Pinctata pectinata occurs, overgrowing the bottom. The rhodoliths tend to remain on the seafloor (with 10% to 20% estimated buried and becoming permanently incorporated to the sediment mass). The sediment dynamics are strongly dominated by erosive phases related to storms.",DE MACEDO DIAS GT 2012 J COAST RES,Coralline Algae Depositional Environments on the Brazilian Central–South-Eastern Shelf,10.2112/11t-00003.1,de Macedo Dias,Journal of Coastal Research,0.977011494252874,0.142857142857143
1520,SANTOS GS 2016 HELGOLAND MAR RES,2016,RESPONSE OF THE ZOOXANTHELLAE OF PALYTHOA CARIBAEORUM CNIDARIA  ZOANTHIDEA TO DIFFERENT ENVIRONMENTAL CONDITIONS IN COASTAL AND OCEANIC  ECOSYSTEMS OF THE TROPICAL ATLANTIC,REEF ECOSYSTEMS ZOANTHIDS SYMBIOSIS SYMBIODINIUM BENTHOS ECOLOGY BRAZIL GREAT-BARRIER-REEF SYMBIODINIUM DIVERSITY CORAL ANTHOZOA MUCUS COMMUNITIES DENSITY HEXACORALLIA CAVERNOSA ALGAE,THE PRESENT STUDY TESTED THE HYPOTHESIS THAT ENDOSYMBIONTS OF THE  ZOANTHID PALYTHOA CARIBAEORUM SHOW SPECIFIC RESPONSES IN CELL DENSITY  SIZE AND MITOTIC INDEX AS PROXY FOR CELL POPULATION GROWTH UNDER  DIFFERENT ENVIRONMENTAL CONDITIONS WATER DEPTH POSITION WITHIN THE  REEF AND WITHIN THE COLONY. COLONY FRAGMENTS WERE SAMPLED AT THE  NEARSHORE COASTAL REEFS OF PORTO DE GALINHAS AND AT THE OCEANIC ST.  PETER AND ST. PAUL'S ARCHIPELAGO SPSP BRAZIL. AT THE COASTAL REEFS  ZOOXANTHELLAE SHOWED HIGHER DENSITY ON THE REEF FLAT MEAN 2.99 X 106  CM-2 THAN AT THE BACK REEF MEAN 2.07 X 106 CM-2. ZOOXANTHELLAE  WERE LARGER AT THE CENTER OF THE COLONIES MEAN 10.61 MU M THAN AT THE  EDGES MEAN 10.11 MU M WHERE YOUNGER POLYPS WERE FOUND. AT SPSP  ZOOXANTHELLAE SHOWED SMALLER CELL DIAMETERS AT 3 M DEPTH THAN AT 5-15  M. CELL SIZE INCREASED WITH DEPTH THUS ENHANCING THE PHOTOSYNTHETIC  EFFICIENCY OF COLONIES IN DEEPER ENVIRONMENTS. STRATEGIES AND  ADAPTATIONS OF THESE ENDOSYMBIONTS TO ENVIRONMENTAL STRESSORS ARE  DISCUSSED. SYMBIONT DISTRIBUTION PATTERNS SHOWN IN THIS STUDY HAVE  FUNDAMENTAL IMPLICATIONS FOR THE MONITORING OF THE HEALTH OF TROPICAL  REEF ECOSYSTEMS.,SANTOS GS 2016 HELGOLAND MAR RES,Response of the zooxanthellae of Palythoa caribaeorum (Cnidaria: Zoanthidea) to different environmental conditions in coastal and oceanic ecosystems of the Tropical Atlantic,10.1186/s10152-016-0454-y,Santos,Helgoland Marine Research,0.976878612716763,1
333,CHAGAS LP 2006 J MAR BIOL ASSOC U K,2006,SMALL-SCALE SPATIAL CHANGES IN ESTUARINE FISH SUBTIDAL ASSEMBLAGES IN  TROPICAL BRAZIL,NA 1997-1998 EL-NINO SEPETIBA BAY DIEL CHANGES LARVAL FISH REEF FISHES MANGROVE HABITATS DYNAMICS LAGOON COMMUNITIES,MONTHLY SAMPLING WAS CONDUCTED DURING ONE YEAR IN THREE ZONES ALONG THE  ESTUARINE GRADIENT OF BAIA DE VITORIA BRAZIL. WITHIN EACH ZONE  UNREPLICATED NIGHT TRAWLS WERE DONE IN DEEP SUBTIDAL FLATS LOCATED  130-210 M AWAY AND 2-3 M DEEPER THAN SHALLOW ONES. TWENTY-ONE TAXA  REPRESENTED 97.5\% OF THE TOTAL MEAN FISH ABUNDANCE. THE TAXA ACHIRUS  LINEATUS MEAN +/- SD 2076 +/- 1269 10-4 M2 EUCINOSTOMUS SPP.  694 +/- 807 SYMPHURUS TESSELLATUS 400 +/- 626 SPHOEROLDES  TESTUDINEUS 367 +/- 597 AND LUYANUS SYNAGRIS 323 +/- 445 DOMINATED  THE DEEP ASSEMBLAGE N=36 WHILE EUCINOSTOMUS SPP. 3649 +/- 4913 A.  LINEATUS 1287 +/- 1569 S. TESTUDINEUS 1208 +/- 1986 L. SYNAGNS  1101 +/- 927 AND SPHOEROIDES GREELEYI 569 +/- 1404 DOMINATED THE  SHALLOW ASSEMBLAGE N=35. TAXA EXCLUSIVE OF ONE OR THE OTHER DEPTH  SHOWED EXTREMELY LOW ABUNDANCE. THE LOW-SALINITY SHALLOW FLATS SHOWED  HIGHER TOTAL ABUNDANCE AND TAXA NUMBER THAN THE HIGH SALINITY DEEP  LOCALES BUT RICHNESS DIVERSITY AND EQUITABILITY SHOWED NO SIGNIFICANT  DIFFERENCES AMONG THE SIX STATIONS. THE ASSEMBLAGE STRUCTURE WAS  SIGNIFICANTLY CORRELATED TO THE DEPTH STRUCTURE BUT NOT TO  PHYSICO-CHEMICAL CHARACTERISTICS OF THE WATER. HOWEVER THE SPATIAL  DISTRIBUTION OF INDIVIDUAL SPECIES VARIED GREATLY FROM DEPTH-DEPENDENT  PATTERN TO ESTUARINE GRADIENT-DEPENDENT PATTERN WITH SEVERAL  INTERMEDIATES. THE COMMUNITY STRUCTURE IS SINGULAR IN COMPARISON TO THAT  OF OTHER TROPICAL BRAZILIAN ESTUARIES STUDIED TO DATE. THIS IS PROBABLY  RELATED TO ITS GEOGRAPHICAL POSITION IN A TRANSITIONAL ZONE BETWEEN THE  NORTHERN TROPICAL BRAZILIAN OCEANIC DOMAIN AND THE SOUTHERN  SUBTROPICAL-TEMPERATE DOMAIN.,CHAGAS LP 2006 J MAR BIOL ASSOC U K,Small-scale spatial changes in estuarine fish: subtidal assemblages in tropical Brazil,10.1017/s0025315406013804,Chagas,Journal of the Marine Biological Association of the United Kingdom,0.976744186046512,1
1264,NUZZO G 2016 J NAT PROD,2016,DINOFLAGELLATE-RELATED AMPHIDINOLIDES FROM THE BRAZILIAN OCTOCORAL  STRAGULUM BICOLORE,NA AMPHIDINIUM SP MACROLIDES,BENTHIC CNIDARIANS ARE COLONIAL MARINE ANIMALS THAT HOST A RICH  POPULATION OF ASSOCIATED AND SYMBIOTIC MICROORGANISMS. IN A RECENT PAPER  WE DESCRIBED FOR THE FIRST TIME THE ISOLATION OF AMPHIDINOLIDE P 1  FROM THE BRAZILIAN OCTOCORAL STRAGULUM BICOLOR. AMPHIDINOLIDES AND  SIMILAR COMPOUNDS HAD BEEN PREVIOUSLY REPORTED ONLY FROM DINOFLAGELLATES  OF THE GENUS AMPHIDINIUM THUS THE PRESENCE OF 1 IN THE INVERTEBRATE  OPENS INTRIGUING QUESTIONS ON THE ROLE AND OCCURRENCE OF THESE MOLECULES  IN MARINE ECOSYSTEMS. HERE WE REPORT THE IDENTIFICATION OF FOUR FURTHER  AMPHIDINOLIDES FROM THE SAME SOFT CORAL INCLUDING THE KNOWN  AMPHIDINOLIDE T1 2 AND THE NEW ANALOGUES HERE NAMED AMPHIDINOLIDES C4  3 B8 4 AND B9 5. THE CHEMICAL STRUCTURES HAVE BEEN ELUCIDATED  MAINLY BY EXTENSIVE STUDY OF SPECTROSCOPIC DATA. CYTOTOXIC ACTIVITIES OF  3 AND 4 WERE EVALUATED AGAINST THE COLON ADENOCARCINOMA CELL LINE  HCT-116.,NUZZO G 2016 J NAT PROD,Dinoflagellate-Related Amphidinolides from the Brazilian Octocoral Stragulum bicolor,10.1021/acs.jnatprod.6b00259.s001,,,0.976744186046512,0
682,FRANCINI-FILHO RB 2013 PLOS ONE,2013,DYNAMICS OF CORAL REEF BENTHIC ASSEMBLAGES OF THE ABROLHOS BANK EASTERN  BRAZIL INFERENCES ON NATURAL AND ANTHROPOGENIC DRIVERS,NA COMMUNITY STRUCTURE PHASE-SHIFTS STABLE STATES LONG-TERM COMPETITION SCARIDAE DECLINE COVER FISH SEDIMENTATION,THE ABROLHOS BANK EASTERN BRAZIL ENCOMPASSES THE LARGEST AND RICHEST  CORAL REEFS OF THE SOUTH ATLANTIC. CORAL REEF BENTHIC ASSEMBLAGES OF THE  REGION WERE MONITORED FROM 2003 TO 2008. TWO HABITATS PINNACLES' TOPS  AND WALLS WERE SAMPLED PER SITE WITH 3-10 SITES SAMPLED WITHIN  DIFFERENT REEF AREAS. DIFFERENT METHODOLOGIES WERE APPLIED IN TWO  DISTINCT SAMPLING PERIODS 2003-2005 AND 2006-2008. SPATIAL COVERAGE AND  TAXONOMIC RESOLUTION WERE LOWER IN THE FORMER THAN IN THE LATTER PERIOD.  BENTHIC ASSEMBLAGES DIFFERED MARKEDLY IN THE SMALLEST SPATIAL SCALE  WITH GREATER DIFFERENCES RECORDED BETWEEN HABITATS. MANAGEMENT REGIMES  AND BIOMASS OF FISH FUNCTIONAL GROUPS ROVING AND TERRITORIAL  HERBIVORES HAD MINOR INFLUENCES ON BENTHIC ASSEMBLAGES. THESE RESULTS  SUGGEST THAT LOCAL ENVIRONMENTAL FACTORS SUCH AS LIGHT DEPTH AND  SUBSTRATE INCLINATION EXERT A STRONGER INFLUENCE ON THE STRUCTURE OF  BENTHIC ASSEMBLAGES THAN PROTECTION FROM FISHING. REEF WALLS OF  UNPROTECTED COASTAL REEFS SHOWED HIGHEST CORAL COVER VALUES WITH A  MAJOR CONTRIBUTION OF MONTASTRAEA CAVERNOSA A SEDIMENT RESISTANT  SPECIES THAT MAY BENEFIT FROM LOW LIGHT LEVELS. AN OVERALL NEGATIVE  RELATIONSHIP BETWEEN FLESHY MACROALGAE AND SLOW-GROWING REEF-BUILDING  ORGANISMS I.E. SCLERACTINIANS AND CRUSTOSE CALCAREOUS ALGAE WAS  RECORDED SUGGESTING COMPETITION BETWEEN THESE ORGANISMS. THE OPPOSITE  TREND I.E. POSITIVE RELATIONSHIPS WAS RECORDED FOR TURF ALGAE AND THE  TWO REEF-BUILDING ORGANISMS SUGGESTING BENEFICIAL INTERACTIONS AND/OR  CO-OCCURRENCE MEDIATED BY UNEXPLORED FACTORS. TURF ALGAE COVER INCREASED  ACROSS THE REGION BETWEEN 2006 AND 2008 WHILE SCLERACTINIAN COVER  SHOWED NO CHANGE. THE NEED OF A CONTINUED AND STANDARDIZED MONITORING  PROGRAM AIMED AT UNDERSTANDING DRIVERS OF CHANGE IN COMMUNITY PATTERNS  AS WELL AS TO SUBSIDIZE SOUND ADAPTIVE CONSERVATION AND MANAGEMENT  MEASURES IS HIGHLIGHTED.,FRANCINI-FILHO RB 2013 PLOS ONE,"Dynamics of Coral Reef Benthic Assemblages of the Abrolhos Bank, Eastern Brazil: Inferences on Natural and Anthropogenic Drivers",10.1371/journal.pone.0054260,Francini-Filho,PLoS ONE,0.9765625,1
1301,PASCELLI C 2013 AQUAT BOT,2013,SEASONAL AND DEPTH-DRIVEN CHANGES IN RHODOLITH BED STRUCTURE AND  ASSOCIATED MACROALGAE OFF ARVOREDO ISLAND SOUTHEASTERN BRAZIL,CORALLINE ALGAE MACROALGAE MARINE BIODIVERSITY MARINE PROTECTED AREALITHOTHAMNION CRISPATUM MAERL RHODOPHYTA COMMUNITY STATE COAST,RHODOLITHS ARE FORMED BY CORALLINE RED ALGAE AND CAN FORM HETEROGENEOUS  SUBSTRATA WITH HIGH BIODIVERSITY. HERE WE DESCRIBE A RHODOLITH BED AT  THE SOUTHERN LIMIT OF THE KNOWN DISTRIBUTION OF THIS HABITAT IN THE  WESTERN ATLANTIC. WE CHARACTERIZED RHODOLITH AND MACROALGAL ASSEMBLAGES  AT 5 10 AND 15 M DEPTH DURING SUMMER AND WINTER. LITHOTHAMNION  CRISPATUM WAS DOMINANT AMONGST THE SIX RHODOLITH-FORMING SPECIES  PRESENT. MOST RHODOLITHS WERE SPHEROIDAL IN SHAPE INDICATING HIGH  MOBILITY DUE TO WATER MOVEMENT. RHODOLITH DENSITY DECREASED WITH  INCREASING DEPTH AND DURING WINTER. TURF-FORMING SEAWEEDS ACCOUNTED FOR  60\% OF THE BIOMASS GROWING ON RHODOLITHS. MACROALGAE INCREASED  ABUNDANCE AND RICHNESS IN THE SUMMER BUT WAS SIMILAR BETWEEN 5 AND 15 M  DEPTH. THEY WERE LESS ABUNDANT AND DIVERSE THAN THAT RECORDED IN  RHODOLITH BEDS FURTHER NORTH IN BRAZIL. BOTH SEASON AND DEPTH AFFECTED  THE STRUCTURE OF THE MACROALGAE ASSEMBLAGES. WE CONCLUDE THAT  LITHOTHAMNIOM IS THE MOST REPRESENTATIVE GENUS OF BRAZILIAN RHODOLITH  BEDS. SUMMER IS RESPONSIBLE FOR INCREASING THE DIVERSITY AND RICHNESS OF  MACROALGAE AS WELL AS INCREASING RHODOLITH DENSITY.,PASCELLI C 2013 AQUAT BOT,Seasonal and depth-driven changes in rhodolith bed structure and associated macroalgae off Arvoredo island (southeastern Brazil),10.1016/j.aquabot.2013.05.009,Pascelli,Aquatic Botany,0.9765625,1
1643,"SISSINI MN, 2014, MARINE BIODIVERSITY RECORDS",2014,FIRST RECORD OF THE GREEN ALGA HALIMEDA (BRYOPSIDALES: CHLOROPHYTA) AT ROCAS ATOLL - NATURAL DISPERSION OR ANTHROPOGENIC CAUSES?,DISPERSION,  HALIMEDA OPUNTIA,  OCEANIC ISLANDS,First record of the green alga Halimeda (Bryopsidales: Chlorophyta) at Rocas Atoll—natural dispersion or anthropogenic causes?,10.1017/s1755267214001018,Sissini,Marine Biodiversity Records,0.9765625,1
244,BRITO-LOLAIA M 2020 Helgoland Mar. Res.,2020,"Micro- and mesozooplankton at the edges of coastal tropical reefs (Tamandare, Brazil",Coastal tropical reefs, Zooplankton, Copepods,"Micro- and mesozooplankton at the edges of coastal tropical reefs (Tamandaré, Brazil)",10.1186/s10152-020-00539-4,Brito-Lolaia,Helgoland Marine Research,0.976470588235294,1
1614,"SILVA MRO, 2019, ECOL SOC",2019,SOCIAL-ECOLOGICAL TRENDS: MANAGING THE VULNERABILITY OF COASTAL FISHING   COMMUNITIES,ANTHROPOCENE, COUPLED SYSTEM, ECOSYSTEM SERVICES,Social-ecological trends: managing the vulnerability of coastal fishing communities,10.5751/es-11185-240404,Silva,Ecology and Society,0.976470588235294,1
1344,PESSOA PINHO DE VASCONCELOS ERT 2019 J APPL PHYCOL,2019,MACROALGAL RESPONSES TO COASTAL URBANIZATION RELATIVE ABUNDANCE OF  INDICATOR SPECIES,COAST OCCUPATION BIOINDICATORS PHYTOBENTHOS COASTAL REEFS CORAL-REEFS MARINE COMMUNITIES ALGAE SARGASSUM DIVERSITY RICHNESS AREAS,THIS STUDY AIMED TO EVALUATE AND COMPARE THE INTERTIDAL MACROALGAE  COMMUNITY FROM REEF STRUCTURES SUBJECT TO DIFFERENT URBANIZATION  DEGREES. SAMPLINGS WERE MADE IN 11 BEACHES FROM THE PERNAMBUCO COAST  NORTHEASTERN BRAZIL. THE SITES WERE CLASSIFIED ACCORDING TO THE LEVEL OF  URBANIZATION INTO THREE CLASSES OF INCREASING URBANIZATION PRESSURE NON  URBANIZED NU IN URBANIZATION PROCESS UP AND CONSOLIDATED  URBANIZATION UC. MACROALGAE WERE IDENTIFIED IN SITU NON-DESTRUCTIVELY.  A TOTAL OF 53 TAXA WERE IDENTIFIED 41 OF THESE WERE MACROALGAE.  SIGNIFICANT DIFFERENCES WERE OBSERVED IN THE COMPOSITION OF MACROALGAE  ACCORDING TO THE URBANIZATION LEVELS WITH PALISADA PERFORATA  GELIDIELLA ACEROSA AND CAULERPA SPP. DOMINATING NU AND UP SITES  WHEREAS CHONDRACANTHUS ACICULARIS BRYOPSIS SP. AND ULVA SPP. DOMINATED  UC SITES. THIS WORK SHOWS THAT URBANIZATION CAN HAVE A STRONG EFFECT ON  THE STRUCTURE OF ROCKY INTERTIDAL MACROALGAL ASSEMBLAGES AND HIGHLIGHTS  SOME MACROALGAE SPECIES THAT CAN BE USED AS BIOINDICATORS FOR ASSESSING  THE IMPACT OF URBANIZATION ON COASTAL SHORES.,PESSOA PINHO DE VASCONCELOS ERT 2019 J APPL PHYCOL,Macroalgal responses to coastal urbanization: relative abundance of indicator species,10.1007/s10811-018-1639-3,de Vasconcelos,Journal of Applied Phycology,0.976470588235294,0.214285714285714
104,ATTRILL MJ 2004 CLIM RES,2004,IMPACT OF THE 1997-98 EL NINO EVENT ON THE CORAL REEF-ASSOCIATED  ECHINODERM ASSEMBLAGE FROM NORTHERN BAHIA NORTHEASTERN BRAZIL,EL NINO/SOUTHERN OSCILLATION ENSO ECHINODERMATA DIADEMA ECHINOMETRA COMMUNITY LOCAL EXTINCTION SOUTHERN-OSCILLATION DIADEMA-ANTILLARUM CNIDARIAN COMMUNITY FISH COMMUNITIES MORTALITY DISTURBANCES RESPONSES PATTERNS RECOVERY ISLANDS,THE 1997-98 EL NINO EVENT WAS THE MOST SEVERE ON RECORD RESULTING IN  RECORD ELEVATED WATER TEMPERATURES ACROSS MUCH OF THE WORLD'S TROPICAL  OCEAN REGIONS. THIS EVENT TRIGGERED EXTENSIVE BLEACHING OF CORAL REEFS  WORLD-WIDE BUT LITTLE INFORMATION IS AVAILABLE ON THE IMPACT OF THIS  MAJOR GLOBAL EVENT ON THE NON-CORAL INVERTEBRATES ASSOCIATED WITH REEF  SYSTEMS. HERE WE REPORT THE RESULTS OF A 6 YR 1995-2000 SURVEY OF THE  ECHINODERM ASSEMBLAGE FROM 4 CORAL REEF SYSTEMS IN BAHIA BRAZIL THE  1997-98 EL NINO EVENT OCCURRED IN THE MIDDLE OF THE SURVEY ALLOWING  IMPACT AND RECOVERY TO BE ASSESSED. AT EACH LOCATION 3 CONTRASTING REEF  HABITATS WERE SAMPLED INTERTIDAL EMERGENT REEF TOPS COASTAL REEF  WALLS OFFSHORE SHALLOW-BANK REEFS WITH ALL ECHINODERM SPECIES BEING  IDENTIFIED AND ENUMERATED. THE EL NINO EVENT HAD A DRAMATIC AND  CONSISTENT IMPACT ON THE ECHINODERM ASSEMBLAGE WITH A SHARP POST-EL  NINO DECREASE IN THE NUMBER OF SPECIES FROM ALL HABITATS. HOWEVER  DECLINES IN DIVERSITY CONTINUED INTO SUBSEQUENT YEARS WITH THE LOCAL  EXTINCTION OF THE MAJORITY OF ECHINODERM SPECIES BY 2000. IN CONTRAST  ECHINODERM DENSITY PEAKED IN 1998 DUE TO OPPORTUNISTIC INCREASES IN  URCHIN POPULATIONS DIADEMA ANTILLARUM AND ECHINOMETRA LACUNTER ACROSS  THE STUDIED REEF SYSTEMS. MULTIVARIATE ANALYSIS CONFIRMED A MARKED  CHANGE IN ECHINODERM ASSEMBLAGE COMPOSITION BETWEEN 1997 AND 1998 FOR  ALL REEF HABITATS WITH NO EVIDENCE OF RECOVERY TO A PRE-EL NINO  ASSEMBLAGE IN THE 2 SUBSEQUENT YEARS. THE STRESSES ASSOCIATED WITH THE  EL NINO EVENT IN THE CASE OF BAHIA INCREASES IN WATER TEMPERATURE AND  ULTRAVIOLET LIGHT REACHING THE REEF REDUCED CLOUD COVER AND TURBIDITY  APPEAR TO HAVE HAD A LETHAL IMPACT ON THE MAJORITY OF REEF ECHINODERM  SPECIES WITH NO EVIDENCE OF RECOVERY OVER 2 YR FOLLOWING EL NINO.  INCREASES IN URCHINS ARE MOST LIKELY DUE TO MIGRATION OF INDIVIDUALS  ONTO THE REEF FROM DEEPER AREAS TO EXPLOIT THE REDUCED COMPETITION AND  POTENTIAL INCREASING ALGAL FOOD RESOURCE. THE STUDY HIGHLIGHTS THAT EL  NINO CAN HAVE SEVERE IMPACTS ON REEF SYSTEMS ADDITIONAL TO THE EFFECT ON  CORALS.,ATTRILL MJ 2004 CLIM RES,"Impact of the 1997-98 El Niño event on the coral reef-associated echinoderm assemblage from northern Bahia, northeastern Brazil",10.3354/cr026151,Attrill,Climate Research,0.976377952755906,1
912,LAGES BG 2012 MAR BIOL,2012,PROXIMITY TO COMPETITORS CHANGES SECONDARY METABOLITES OF NON-INDIGENOUS  CUP CORALS TUBASTRAEA SPP. IN THE SOUTHWEST ATLANTIC,NA GENERALIST FISH PREDATORS STRUCTURAL DEFENSES CHEMICAL DEFENSES GEOGRAPHIC-VARIATION PHYSICAL DEFENSES FATTY-ACIDS SPONGE COELENTERATA OCTOCORAL WARFARE,COMPETITION FOR SPACE CHANGES SPECIES' DISTRIBUTIONS AND COMMUNITY  ORGANIZATION ON TROPICAL ROCKY SHORES AND THE PRESENCE OF SECONDARY  METABOLITES IN THE TISSUES OF NON-INDIGENOUS SPECIES MAY AID THEM IN  ESTABLISHING AND EXPANDING THEIR RANGE THROUGH NEGATIVE COMPETITIVE  INTERACTIONS. THE AIM OF THIS STUDY WAS TO DESCRIBE THE RANGE OF  CHEMICAL SUBSTANCES PRODUCED BY THE NON-INDIGENOUS CUP CORALS TUBASTRAEA  COCCINEA AND T. TAGUSENSIS AND TO TEST WHETHER THEY VARIED IN THE FIELD  WHEN THE CORALS WERE PLACED IN PROXIMITY TO TWO LOCAL COMPETITORS.  CHOLEST-5-EN-3 BETA-OL AND 9-OCTADECANOIC ACID WERE TWO COMMON SECONDARY  METABOLITES FOUND IN THE TISSUES OF TUBASTRAEA. IN THE COMPETITION  INTERACTION EXPERIMENT NECROSIS WAS DETECTED ON THE TISSUES OF THE  CORAL MUSSISMILIA HISPIDA AND THIS SPECIES INDUCED VARIATION IN STEROL  ALKALOID AND FATTY ACID PRODUCTION IN TUBASTRAEA TISSUES. IN CONTRAST  A SPONGE OVERGREW TUBASTRAEA COLONIES. THESE RESULTS INDICATE THAT  CHEMICAL DEFENSE MAY CONTRIBUTE TO THE ABILITY OF THESE NON-INDIGENOUS  CORALS TO INVADE NATIVE COMMUNITIES.,LAGES BG 2012 MAR BIOL,"Proximity to competitors changes secondary metabolites of non-indigenous cup corals, Tubastraea spp., in the southwest Atlantic",10.1007/s00227-012-1941-6,Lages,Marine Biology,0.976377952755906,1
