;X;PY;TI;DE;AB;SR;DI;;;;;;;;;;;;;;;;;;
1621;GUIMARAES RZP, 2002, COPEIA;2002;REVIEW OF THE BRAZILIAN SPECIES OF PARACLINUS (TELEOSTEI : LABRISOMIDAE), WITH DESCRIPTIONS OF TWO NEW SPECIES AND REVALIDATION OF PARACLINUS RUBICUNDUS (STARKS);NA;THE NEW WORLD LABRISOMID GENUS PARACLINUS COMPRISES SMALL, CRYPTIC REEF FISHES, P AND IS REPRESENTED BY THREE ENDEMIC SPECIES ON THE COAST OF BRAZIL. PARACLINUS RUBICUNDUS (STARKS) OCCURS FROM ALAGOAS SOUTH TO SANTA CATARINA AND IS REMOVED FROM THE SYNONYMY OF ITS CARIBBEAN COUNTERPART PARACLINUS NIGRIPINNIS (STEINDACHNER), FROM WHICH IT IS SEPARATED BY ITS LOWER NUMBERS OF DORSAL FIN SPINES, LATERAL LINE SCALES, AND ROWS OF SCALES ON THE PECTORAL FIN BASE. THE TWO REMAINING SPECIES WERE ALSO HISTORICALLY MISIDENTIFIED AS CARIBBEAN FORMS. PARACLINUS ARCANUS N. SP., KNOWN FROM PERNAMBUCO SOUTH TO RIO DE JANEIRO, IS DISTINGUISHED FROM THE CARIBBEAN PARACLINUS FASCIATUS (STEINDACHNER), BY ITS HIGHER NUMBERS OF DORSAL FIN SPINES, NUCHAL CIRRUS MORPHOLOGY AND THE PRESENCE OF A SCALELESS AREA ALONG THE ANTERIOR PORTION OF THE DORSAL FIN BASE. PARACLINUS SPECTATOR N. SP., KNOWN FROM RIO DE JANEIRO SOUTH TO SANTA CATARINA, IS DISTINGUISHED FROM OTHER LARGE PARACLINUS WITH AN ELONGATE FIRST DORSAL SPINE AND THREE SEGMENTED PELVIC FIN RAYS BY THE COMBINED PRESENCE OF A FLATTENED, TRIANGULAR OPERCULAR SPINE AND A SOFT RAY AS THE LAST DORSAL FIN ELEMENT.;GUIMARAES RZP, 2002, COPEIA;NA;;;;;;;;;;;;;;;;;;
1622;MOURA RL, 2002, PROC BIOL SOC WASH;2002;REVISION OF ATLANTIC SHARPNOSE PUFFERFISHES (TETRAODONTIFORMES : TETRAODONTIDAE : CANTHIGASTER), WITH DESCRIPTION OF THREE NEW SPECIES;NA;SIX SPECIES OF SHARPNOSE PUFFERS ARE HEREIN RECOGNIZED FROM THE ATLANTIC OCEAN, THREE OF WHICH ARE DESCRIBED AS NEW: CANTHIGASTER FIGUEIREDOI N. SP. FROM THE EAST COAST OF SOUTH AMERICA, CANTHIGASTER JAMESTYLERI, N. SP. FROM DEER REEFS OFF THE SOUTHEAST COAST OF THE UNITED STATES AND THE GULF OF MEXICO, AND CANTHIGASTER SUPRAMACULA, N. SP. FROM THE WEST COAST OF AFRICA. CANTHIGASTER CAPISTRATUS (LOWE 1839), DESCRIBED FROM THE MADEIRA ISLANDS AND PREVIOUSLY CONSIDERED TO BE A JUNIOR SYNONYM OF C. ROSTRATA (BLOCH, 1786), IS REVALIDATED AND REDESCRIBED;;;;;;;;;;;;;;;;;;;;
1633;NOGUEIRA JMD, 2001, J NAT HIST;2001;DESCRIPTION OF FIVE NEW SPECIES OF EXOGONINAE RIOJA, 1925 (POLYCHAETA : SYLLIDAE) ASSOCIATED WITH THE STONY CORAL MUSSISMILIA HISPIDA (VERRILL, 1868) IN SAO PAULO STATE, BRAZIL;SHAEROXYLLIS;;;;;;;;;;;;;;;;;;;;;
1636;CASTRO CB, 2001, BULL MAR SCI;2001;BRAZILIAN CORAL REEFS: WHAT WE ALREADY KNOW AND WHAT IS STILL MISSING;NA;THE LAST THOROUGH QUALITATIVE DESCRIPTION OF THE UNIQUE BRAZILIAN CORAL COMMUNITIES WAS ELABORATED IN THE 1960'S. THIS PAPER REVIEWS THE STATUS OF KNOWLEDGE OF BRAZILIAN REEFS, WITH EMPHASIS ON CORAL COMMUNITIES. LARGER REEF CORAL COMMUNITIES WERE RECORDED FROM NEAR THE EQUATOR (00 DEGREES 53'S) TO CAPE FRIO (23 DEGREESS), BUT THE SOUTHERNMOST TRUE REEFS ARE IN THE ABROLHOS AREA ( 18 DEGREESS). FIFTEEN SCLERACTINIAN SPECIES FROM BRAZILIAN REEFS (FIVE ENDEMICS) HAVE BEEN DESCRIBED. IN NORTHERN BRAZIL, THE SCATTERED INFORMATION INDICATES MOSTLY OFFSHORE OR OCEANIC COMMUNITIES DOMINATED BY CORALLINE ALGAE, WITH SIDERASTREA STELLATA AS THE MAIN STONY CORAL. HOWEVER, `PARCEL DO MANUEL LUIZ' SEEMS TO HARBOR A UNIQUE CORAL COMMUNITY ESTABLISHED ON A ROCKY STRUCTURE. NORTHEASTERN REEFS HAVE MOSTLY LONG LINES OF FRINGING REEFS (MANY ON BEACH ROCKS), WITH SUBMERGED PARALLEL LINES OFFSHORE. EASTERN REEFS ARE UNIQUELY CHARACTERIZED BY THE MAJOR REEF BUILDER SPECIES MUSSISMILIA BRAZILIENSIS (ENDEMIC IN THIS REGION) AND PINNACLES (CHAPEIROES) AS AN IMPORTANT REEF STRUCTURE (SOMETIMES FUSED TO FORM BANK REEFS). ALTHOUGH THERE IS A LACK OF INFORMATION ON ALMOST ALL ASPECTS OF REEF STUDIES, THE CURRENT (1990S) SURGE OF PAPERS INDICATE THEY ARE GAINING ATTENTION FROM THE SCIENTIFIC COMMUNITY. CURRENT RESEARCHERS ALSO HAVE BEEN COLLABORATING WITH CONSERVATION EFFORTS.;CASTRO CB, 2001, BULL MAR SCI;NA;;;;;;;;;;;;;;;;;;
1637;SEGAL B, 2001, BULL MAR SCI;2001;A PROPOSED METHOD FOR CORAL COVER ASSESSMENT: A CASE STUDY IN ABROLHOS, BRAZIL;NA;ONE OF THE METHODS MOST OFTEN USED TO EVALUATE REEF COMMUNITY COVERAGE ARE LINE INTERCEPT TRANSECTS (LIT). HOWEVER, COLLECTION OF COVER DATA USING LIT HAS DRAWBACKS. THE OPTIMIZATION OF DATA COLLECTING PERMITS AN INCREASE IN NUMBER OF REPLICATES, ALLOWING A MORE ADEQUATE QUANTIFICATION OF THE COMMUNITY AND COMPARISON AMONG DIFFERENT SITES/TIMES. IT WAS ASSUMED THAT A LIT IS COMPOSED OF SEVERAL ADJACENT DATA POINTS AND THE NUMBER OF DATA POINTS NECESSARY TO `DESCRIBE' A WHOLE LINE WAS INVESTIGATED. SEVERAL LIT WERE DEPLOYED IN THE ABROLHOS ARCHIPELAGO, BRAZIL. THE VARIATION OF THE STAND ERROR FOR PERCENT COVER IN RELATION TO A VARYING NUMBER OF POINTS DRAWN FROM EACH LIT WAS EVALUATED. A RELATIVELY STABLE CONDITION WAS REACHED WITH 500 (OUT OF 2000) POINTS. THIS PROCEDURE (POINT INTERCEPT TRANSECTS - PIT) NEEDED MUCH LESS EFFORT FOR TWO REASONS: (I) TIME PER TRANSECT (UP TO 62.5\% REDUCTION);;;;;;;;;;;;;;;;;;;;
1638;LAZOSKI C, 2001, MAR BIOL;2001;CRYPTIC SPECIATION IN A HIGH GENE FLOW SCENARIO IN THE OVIPAROUS MARINE SPONGE CHONDROSIA RENIFORMIS;NA;SPONGE SYSTEMATICS HAS BEEN TRADITIONALLY BASED ON THE STUDY OF THE SKELETON (SPICULES AND SPONGIN FIBRES). HOWEVER, SPONGES OF THE GENUS CHONDROSIA ARE DEVOID OF THOSE SKELETAL FEATURES, MAKING IT DIFFICULT TO DISTINGUISH BETWEEN DIFFERENT SPECIES IN THE GENUS. CHONDROSIA RENIFORMIS NARDO, 1847, THE TYPE SPECIES OF THE GENUS, WAS DESCRIBED FROM THE MEDITERRANEAN SEA. THE LACK OF DISTINGUISHING MORPHOLOGICAL FEATURES MAY HAVE BEEN RESPONSIBLE FOR THE WIDESPREAD ASSIGNMENT OF SPECIMENS OF THE GENUS TO THIS SPECIES;;;;;;;;;;;;;;;;;;;;
1645;NOGUEIRA JMD, 2001, J MAR BIOL ASSOC U K;2001;A NEW SPECIES OF BRANCHIOMALDANE (POLYCHAETA : ARENICOLIDAE) FROM THE STATE OF SAO PAULO, SOUTH-EASTERN BRAZIL;NA;A NEW SPECIES OF BRANCHIOMALDANE WAS IDENTIFIED IN A COLLECTION OF POLYCHAETES LIVING IN COLONIES OF A STONY CORAL. BRANCHIOMALDANE MARYAE SP. NOV. DIFFERS FROM ALL OTHER SPECIES OF THE GENUS BY THE PRESENCE OF LENSED EYES AND 1 3 BRANCHIAL FILAMENTS PER PARAPODIUM. COMPARISONS BETWEEN B. MARYAE SP. NOV. AND THE OTHER SPECIES OF THE GENUS ARE PROVIDED, TOGETHER WITH SOME PHYLOGENETIC CONSIDERATIONS ON THE POSITION OF THE GENUS.;NOGUEIRA JMD, 2001, J MAR BIOL ASSOC U K;NA;;;;;;;;;;;;;;;;;;
1646;ACOSTA A, 2001, BULL MAR SCI;2001;ASEXUAL REPRODUCTION IN A ZOANTHID BY FRAGMENTATION: THE ROLE OF EXOGENOUS FACTORS;NA;FRAGMENTATION IS AN IMPORTANT CHARACTERISTIC OF THE LIFE HISTORY, POPULATION DYNAMICS, AND GENETIC STRUCTURE OF AT LEAST FIVE METAZOAN PHYLA. THIS STUDY REPRESENTS A FIRST REPORT OF MODES OF FRAGMENTATION AND THEIR RELATIVE IMPORTANCE TO POPULATION GROWTH IN PALYTHOA CARIBAEORUM (CNIDARIA, ZOANTHIDEA). SEVERAL POPULATIONS AT TWO COASTAL SITES IN BRAZIL (PRAIA PORTINHO, ON SAO SEBASTIAO ISLAND, AND PONTA RECIFE, ON THE SAO PAULO COAST) WERE FOLLOWED FOR 1 YR. TWO DEPTHS IN THE SUB-TIDAL WERE EXAMINED AT EACH SITE: 0.5-1.5 M AND 2.5-4.0 M. THESE SITES REPRESENTED DIFFERENT HABITATS CHARACTERIZED BY DIFFERENT LEVELS OF ENVIRONMENTAL STRESS. FRAGMENTS WERE PRODUCED BY TWO METHODS: (1) BIOTIC FRAGMENTATION (TISSUE ISOLATED DUE TO BIOLOGICALLY CAUSED LESIONS);;;;;;;;;;;;;;;;;;;;
1647;DE MOURA RL, 2001, BULL MAR SCI;2001;A NEW PARROTFISH (SCARIDAE) FROM BRAZIL, AND REVALIDATION OF SPARISOMA AMPLUM (RANZANI, 1842), SPARISOMA FRONDOSUM (AGASSIZ, 1831), SPARISOMA AXILLARE (STEINDACHNER, 1878) AND SCARUS TRISPINOSUS VALENCIENNES, 1840;NA;A TOTAL OF 19 SPECIES OF PARROTFISHES (SCARIDAE) HAVE BEEN RECORDED FROM THE SOUTHWESTERN ATLANTIC. NINE OF THESE SPECIES RECORDS (SPARISOMA AUROFRENATUM,, SPARISOMA CHRYSOPTERUM. SPARISOMA RUBRIPINNE, SPARISOMA VIRIDE, SCARUS COELESTINUS, SCARUS COERULEUS, SCARUS ISERTI, SCARUS TAENIOPTERUS AND SCARUS VETULA) ARE BASED ON MISIDENTIFICATIONS, AND THESE SPECIES DO NOT OCCUR IN THE SOUTHWESTERN ATLANTIC. OF THE REMAINING 10 SPECIES, SCARUS ZELINDAE IS DESCRIBED AS A NEW SPECIES, AND SPARISOMA FRONDOSUM (AGASSIZ, 1831), SPARISOMA AMPLUM (RANZANI, 1842), SPARISOMA AXILLARE (STEINDACHNER. 1878) AND SCARUS TRISPINOSUS VALENCIENNES, 1840 ARE REVALIDATED AS SOUTHWESTERN ATLANTIC SPECIES. CRYPTOTOMUS ROSEUS COPE, 1871, NICHOLSINA USTA (VALENCIENNES, 1840), SPARISOMA ATOMARIUM (POEY. 1861), SPARISOMA RADIANS( VALENCIENNES, 1840) AND SCARUS GUACAMAIA CUVIER, 1829 ARE CONFIRMED AS BRAZILIAN RECORDS. THIS STUDY SHOWS THAT AT LEAST FIVE PARROTFISHES ADD TO THE BRAZILIAN-ENDEMIC REEF FISHES ISOLATED FROM THE CARIBBEAN BY THE FRESHWATER PLUME OFF THE AMAZON AND ORINOCO RIVER MOUTHS.;DE MOURA RL, 2001, BULL MAR SCI;NA;;;;;;;;;;;;;;;;;;
1648;NOGUEIRA JMD, 2001, PROC BIOL SOC WASH;2001;NEW TEREBELLIDS (POLYCHAETA : TEREBELLIDAE) LIVING IN COLONIES OF A STONY CORAL IN THE STATE OF SAO PAULO, BRAZIL;NA;TWO NEW SPECIES OF TEREBELLIDAE, ONE OF WHICH ALSO A NEW GENUS, WERE IDENTIFIED AMONG THE POLYCHAETES ASSOCIATED WITH A STONY CORAL IN THE STATE OF SAO PAULO, SOUTHEASTERN BRAZIL. MORGANA BISETOSA, N. GEN., N. SP. IS AN ABRANCHIATE TEREBELLINAE WITH 18-25 PAIRS OF NOTOPODIA, PRESENT FROM SEGMENT 4, ALL WITH TWO TYPES OF CHAETAE: BILIMBATE CAPILLARIES AND SERRATED CHAETAE;;;;;;;;;;;;;;;;;;;;
1650;GONCALVES-ALVIM SJ, 2001, BIOTROPICA;2001;LEAF GALL ABUNDANCE ON AVICENNIA GERMINANS (AVICENNIACEAE) ALONG AN INTERSTITIAL SALINITY GRADIENT;AVICENNIA GERMINANS;;;; PLANT VIGOR;" SALINE STRESS"",""WE INVESTIGATED THE RELATIONSHIPS AMONG INTERSTITIAL SALINITY LEAF SCLEROPHYLLY, PLANT VIGOR, AND POPULATION DENSITY FOR THE LEAF GALLING INSECT CECIDOMYIA AVICENNINE (DIPTERA: CECIDOMYIIDAE) ON ITS HOST PLANT AVICENNIA GERMINANS (AVICENNIACEAE). SAMPLING WAS DONE IN SIX MANGROVE STANDS AND IN ONE VARZEA FOREST OF MARANHAO, NORTHEAST BRAZIL. AT EACH SITE, TEN SHOOTS WERE RANDOMLY TAKEN ON FIVE A, GERMINANS TREES. FROM EACH SHOUT WE COUNTED THE CORAL NUMBER OF GALLS AND RECORDED THE SHOUT LENGTH (CM). WE ALSO RECORDED THE AVERAGE LENGTH, WIDTH, TOTAL AREA, AND BIOMASS OF LEAVES PER SHOOT. LEAF SCLEROPHYLLY WAS QUANTIFIED BY LEAF BIOMASS PER UNIT AREA (G/CM(2)). SAMPLES OF INTERSTITIAL WATER WERE TAKEN BY A 1.3-CM PVC TUBE WITH 80 CM OF DEPTH, AND SALINITY (PPT) WAS MEASURED WITH A REFRACTOMETER. LEAF SCLEROPHYLLY SHOWED A POSITIVE RELATIONSHIP WITH INTERSTITIAL SALINITY (R(2) = 0.77, P < 0.05). WE ALSO OBSERVED POSITIVE RELATIONSHIPS BETWEEN GALL DENSITY PER UNIT OF LEAF AREA (CM(2)) AND SALINITY (R = 0.36, P ( 0.05), AND BETWEEN GAL DENSITY AND LEAF SCLEROPHYLLY (R = 0.40, P < 0.05). THE SALINITY AND THE LEAF SCLEROPHYLLY TOGETHER EXPLAINED 22 PERCENT OF THE VARIATION IN GALL DENSITY OF C. AVICENNIAE. WE FOUND A NEGATIVE RELATIONSHIP BETWEEN THE NUMBER OF GALLS PER CENTIMETER AND SHOOT LENGTH (R(2) = 0.50, P < 0.05). THUS, LONGER SHOOTS OF A. GERMINANS SHOWED LOWER GALL DENSITY. OUR RESULTS SUGGEST THAT THE GALL DENSITY OF C. AVICENN IAE ON A. GERMINANS IS AFFECTED BY THE SALINITY OF HOST PLANT HABITAT AND BY LEAF SCLEROPHYLLY ALONG AN INTERSTITIAL SALINITY GRADIENT."",""GONCALVES-ALVIM SJ, 2001, BIOTROPICA"",NA";;;;;;;;;;;;;;;;
1657;SAZIMA C, 2001, CYBIUM;2001;PLANKTON-FEEDING AGGREGATION AND OCCASIONAL CLEANING BY ADULT BUTTERFLYFISH, CHAETODON STRIATUS (CHAETODONTIDAE), IN SOUTHWESTERN ATLANTIC;CHAETODONTIDAE;;;;;;;;;;;;;;;;;;;;;
1659;THATCHER VE, 2001, ISOPOD SYSTEMATICS AND EVOLUTION;2001;SOME UNUSUAL MORPHOLOGICAL FEATURES OF AMAZONIAN FISH PARASITES (CYMOTHOIDAE);NA;AMAZONIAN FRESHWATER CYMOTHOIDS HAVE BEEN FOUND TO POSSESS CERTAIN MORPHOLOGICAL CHARACTERS THAT ARE UNREPORTED FOR MARINE FORMS. IN THE GENUS ANPHIRA, FOR EXAMPLE, THE FIRST CORAL PLATES ARE FREE AND MOVEABLE. IN ALL OTHER KNOWN CYMOTHOIDAE, THE FIRST CORAL PLATES ARE FUSED TO THE PEREION AND THE FOLLOWING SIX ARE FREE. IN THE GENUS BRAGA, AS REDEFINED BY THATCHER, 1996, THE PLEOPODS ARE MULTILAMINATE. PLEOPOD 1 CONSISTS OF TWO LAMELLAE WHILE PLEOPOD 2 HAS FOUR AND PLEOPODS 3 TO 5 HAVE THREE LAMELLAE EACH. THE MOUTH PARTS OF SOUTH AMERICAN FRESHWATER CYMOTHOIDS ALSO DIFFER FROM THOSE OF THEIR MARINE COUSINS. THE MANDIBLES OF THE FRESHWATER FORMS LACK CUTTING SHEARING BLADES AND INCISORS. THE MAXILLULES OF FRESHWATER SPECIES USUALLY HAVE FIVE RECURVED SPINES (3-4 TERMINAL AND 1-2 SUBTERMINAL) WHEREAS THE MARINE TYPICALLY HAVE ONLY FOUR, ALL TERMINAL. THE MOUTH PARTS OF AMAZONIAN FISH PARASITIC ISOPODS DIFFER FROM ONE SPECIES TO ANOTHER BUT THEY DO SHOW A CLOSER RELATIONSHIP WITH EACH OTHER THAN ANY DO TO THE MARINE SPECIES. THESE MORPHOLOGICAL FEATURES ARE ILLUSTRATED AND EXPLAINED.;THATCHER VE, 2001, ISOPOD SYSTEMATICS AND EVOLUTION;NA;;;;;;;;;;;;;;;;;;
1662;DE BARROS MML, 2000, REV BIOL TROP;2000;COEXISTENCE OF REEF ORGANISMS IN THE ABROLHOS ARCHIPELAGO, BRAZIL;BRAZIL;;;;;;;;;;;;;;;;;;;;;
1663;NONAKA RH, 2000, FISH BULL;2000;SEASONAL VARIATION IN LARVAL FISH ASSEMBLAGES IN RELATION TO OCEANOGRAPHIC CONDITIONS IN THE ABROLHOS BANK REGION OFF EASTERN BRAZIL;NA;THE ABROLHOS BANK REGION OFF THE EASTERN COAST OF BRAZIL, UNDER THE INFLUENCE OF THE BRAZIL CURRENT, CONSTITUTES A TYPICAL TROPICAL CORAL REEF ECOSYSTEM THAT IS CHARACTERIZED BY A HIGH DIVERSITY OF TROPICAL FISH. RESULTS OF THREE ICHTHYOPLANKTON SURVEYS CONDUCTED IN THIS REGION DURING SUMMER, AUTUMN, AND WINTER REVEALED THAT THERE WERE TWO DOMINANT FISH GROUPS: MESOPELAGIC FISH AND CORAL-REEF-ASSOCIATED FISH. FROM THE 45,614 LARVAE COLLECTED, 83 TAXA (77 FAMILIES AND 6 ORDERS) WERE IDENTIFIED, IN WHICH THE FAMILY MYCTOPHIDAE WAS THE MOST ABUNDANT ACCOUNTING FOR MORE THAN 25\% OF THE TOTAL CATCH IN THE THREE CRUISES. AMONG THE MYCTOPHIDAE, SEASONAL VARIATION IN ABUNDANCE OF MYCTOPHUM AFFINE WAS SIGNIFICANT;;;;;;;;;;;;;;;;;;;;
1668;NOGUEIRA JMD, 2000, BULL MAR SCI;2000;AMPHICORINA SCHLENZAE, A SMALL SABELLID (POLYCHAETA, SABELLIDAE) ASSOCIATED WITH A STONY CORAL ON THE COAST OF SAO PAULO STATE, BRAZIL;NA;COLONIES OF THE STONY CORAL MUSSISMILIA HISPIDA WERE COLLECTED FROM ISLANDS OFF SHORE OF SAO PAULO STATE, DE-CALCIFIED, AND THE POLYCHAETES SORTED AND IDENTIFIED. SPIONIDS, SYLLIDS, AND SABELLIDS WERE THE MOST COMMON FAMILIES, AND AMONG THE SABELLIDS, A NEW SPECIES OF AMPHICORINA WAS FOUND. AMPHICORINA SCHLENZAE IS DESCRIBED AND COMPARISONS WITH THE CLOSEST SPECIES ARE GIVEN.;NOGUEIRA JMD, 2000, BULL MAR SCI;NA;;;;;;;;;;;;;;;;;;
1669;SANTA-ISABEL LM, 2000, BULL MAR SCI;2000;POLYCHAETES FROM THE GUARAJUBA CORAL REEFS, BAHIA, BRAZIL;NA;COMPOSITION, DISTRIBUTION AND FEEDING GROUPS OF POLYCHAETES FROM THE CORAL REEFS OF GUARAJUBA BEACH (EASTERN BRAZIL) WERE EXAMINED TO INVESTIGATE THEIR RELATIONSHIP WITH THE PRESENT CONDITION OF THE REEFS. THE ORGANISMS WERE RANDOMLY SAMPLED FROM THREE ZONES: (1) THE LANDWARD BORDER OF THE TOP OF AN EMERGENT REEF(LANDWARD EMERGENT REEF LER);;;;;;;;;;;;;;;;;;;;
1674;PINTO SM, 2000, PROC BIOL SOC WASH;2000;CNIDAE OF TWO SPECIES OF DISCOSOMATIDAE (CNIDARIA : ANTHOZOA : CORALLIMORPHARIA) FROM BRAZIL;NA;THE CNIDAE OF DISCOSOMA CARLGRENI (WATZL, 1922) AND DISCOSOMA SANCTITHOMAE (DUCHASSAING \& MICHELOTTI, 1860) ARE DESCRIBED AND ILLUSTRATED. FIVE TYPES (SENSU SCHMIDT 1969, 1974) WERE OBSERVED: SPIROCYSTS, B-RHABDOIDS, P-RHABDOIDS D, HOLOTRICHS I AND HOLOTRICHS II. AN UNUSUAL VARIETY OF HOLOTRICH OCCURRED IN THE TENTACLES AND COLUMN THAT HAD NOT BEEN REPORTED PREVIOUSLY. THESE SPECIES ARE DISTINGUISHED BASED ON THE DISTRIBUTION AND SIZE OF THE TYPES OF CNIDAE. THE IMPORTANCE OF QUALITATIVE STUDIES OF CORALLIMORPHARIANS CNIDAE IS DISCUSSED.;PINTO SM, 2000, PROC BIOL SOC WASH;NA;;;;;;;;;;;;;;;;;;
1678;SAZIMA I, 2000, COPEIA;2000;SHARK (CARCHARHINUS PEREZI), CLEANED BY THE GOBY (ELACATINUS RANDALLI), AT FERNANDO DE NORONHA ARCHIPELAGO, WESTERN SOUTH ATLANTIC;NA;SHARKS ARE SELDOM RECORDED AS ASSOCIATES OF REEF-BASED CLEANER FISHES. HERE WE REPORT ON JUVENILE CARIBBEAN REEF SHARKS, CARCHARHINUS PEREZI, ASSOCIATED WITH YELLOWNOSE GOBIES, ELACATINUS RANDALLI, OFF NORTHERN BRAZIL. THE SHARKS SOUGHT OUT CLEANING STATIONS TENDED BY THE GOBIES AND POSED ON THE BOTTOM WHILE BEING CLEANED. THE BOTTOM-RESTING HABIT OF C. PEREZI POSSIBLY FACILITATES CLEANING INTERACTIONS WITH THE BOTTOM-DWELLING CLEANER GOBIES.;SAZIMA I, 2000, COPEIA;NA;;;;;;;;;;;;;;;;;;
1679;FRANSOZO A, 2000, BIODIVERSITY CRISIS AND CRUSTACEA;2000;POPULATION BIOLOGY AND HABITAT UTILIZATION OF THE STONE CRAB MENIPPE NODIFRONS IN THE UBATUBA REGION, SAO PAULO, BRAZIL;NA;THE AIM OF THE CURRENT STUDY WAS TO EVALUATE A POPULATION OF MENIPPE NODIFFONS IN A REEF OF SABELLARIID WORMS, PHRAGMATOPOMA LAPIDOSA, WITH REGARD TO RECRUITMENT, POPULATION STRUCTURE AND SEX RATIO. SAMPLING WAS CARRIED OUT EACH OTHER MONTH FROM SEPTEMBER 1994 UP TO AND INCLUDING JULY 1995, ON THE ROCKY SHORES OF THE TENORIO BEACH, SAO PAULO, BRAZIL. IT RESULTED IN 183 INDIVIDUALS, WHOSE AVERAGE CARAPACE WIDTH IN THIS BIOTOPE WAS 9.1 +/- 5.6 M. THE ANIMALS WERE GROUPED IN NINE SIZE CLASSES AND THE FREQUENCY DISTRIBUTION SHOWED THAT 80\% OCCUPIED THE THREE FIRST CLASSES. THIS MEANS THAT THE POLYCHAETE WORM COLONIES ARE OF GREAT IMPORTANCE FOR THE ESTABLISHMENT OF INDIVIDUALS IN THE FIRST JUVENILE STAGES.;FRANSOZO A, 2000, BIODIVERSITY CRISIS AND CRUSTACEA;NA;;;;;;;;;;;;;;;;;;
1680;WERNER TB, 2000, COAST MANAGE;2000;ABROLHOS 2000: CONSERVING THE SOUTHERN ATLANTIC'S RICHEST COASTAL BIODIVERSITY INTO THE NEXT CENTURY;ABROLHOS;;;;;;;;;;;;;;;;;;;;;
1682;EPIFANIO RD, 2000, J BRAZ CHEM SOC;2000;CHEMICAL DEFENSES OF THE ENDEMIC BRAZILIAN GORGONIAN LOPHOGORGIA VIOLACEA PALLAS (OCTOCORALLIA, GORGONACEA);CNIDARIA;;;;;;;;;;;;;;;;;;;;;
1693;FLORES AAV, 1999, BULL MAR SCI;1999;ON THE POPULATION BIOLOGY OF THE MOTTLED SHORE CRAB PACHYGRAPSUS TRANSVERSUS (GIBBES, 1850) (BRACHYURA, GRAPSIDAE) IN A SUBTROPICAL AREA;NA;THE MOTTLED SHORE CRAB P. TRANSVERSUS IS PROBABLY THE MOST COMMON BRACHYURAN CRAB LIVING IN THE MARINE ROCKY INTERTIDAL OF SOUTHEASTERN BRAZIL. HOWEVER, ITS BIOLOGY IS LARGELY UNKNOWN. IN THIS STUDY, SOME ASPECTS OF THE POPULATION BIOLOGY OF THIS SPECIES ARE INVESTIGATED. DISTRIBUTION OF INDIVIDUALS IN THE INTERTIDAL RANGE IS HETEROGENEOUS. SABELLARIID WORM REEFS AND MYTILID MUSSEL BEDS CAN BE CONSIDERED AS NURSERY GROUNDS RETAINING MOST PART OF JUVENILES, WHILE THE ROCKY SURFACE IS MOSTLY INHABITED BY ADULTS, WHICH FIND SAFETY SHELTERS IN ROCK CREVICES. ANNUAL SIZE FREQUENCY DISTRIBUTIONS REVEALED CLUES OF POPULATION STABILITY AND INDICATED THAT YOUNG INDIVIDUALS REACH THE ADULT HABITAT IN A GRADUAL PROCESS. SEX-RATIO FOLLOWS THE 1:1 PROPORTION IN SMALLER SIZE CLASSES BUT IS BIASED TOWARDS MALES IN LARGER ONES. HIGHER MORTALITY IN LARGER FEMALES IS INDICATED AS A POSSIBLE CAUSE OF THIS PATTERN. OVIGEROUS RATIO SHOWS A REMARKABLE SEASONALITY IN WHICH HIGHEST PERCENTAGES OF OVIGEROUS FEMALES OCCUR DURING SUMMER MONTHS, WHILE RECRUITMENT OF YOUNG IS MORE INTENSE FROM APRIL TO JULY, SUGGESTING A VERY EXTENSIVE LARVAL DEVELOPMENT. ONCE ESTABLISHED IN THE INTERTIDAL ZONE, YOUNG RECRUITS WILL DEVELOP TO MATURE INDIVIDUALS IN LATE SPRING, WHEN MOLTING CRABS BECOME SCARCE AND PROPORTION OF BREEDING FEMALES INCREASES. THEREFORE, GROWTH AND REPRODUCTION ARE IN A GREAT PART TEMPORALLY SEPARATED, ALLOWING AN ANNUAL LIFE CYCLE IN WHICH SETTLEMENT, GROWTH AND BREEDING MAY TAKE PLACE WITHIN A I-YR PERIOD.;FLORES AAV, 1999, BULL MAR SCI;NA;;;;;;;;;;;;;;;;;;
1694;REGO AA, 1999, J HELMINTHOL SOC WASH;1999;SCIADOCEPHALUS MEGALODISCUS DIESING, 1850 (CESTODA : CORALLOBOTHRIINAE), A PARASITE OF CICHLA MONOCULUS SPIX, 1831 (CICHLIDAE), IN THE PARANA RIVER, STATE OF PARANA, BRAZIL;CESTODA;;;;" BRAZIL"",""SCIADOCEPHALUS MEGALODISCUS DIESING, GEN. ET SP. INQUIRENDA, IS REDESCRIBED FROM THE TUCUNARE, CICHLA MONOCULUS SPIX, COLLECTED IN THE PARANA RIVER, BRAZIL. THE POSITION OF THE REPRODUCTIVE SYSTEM OF THE PARASITE IS CLARIFIED, THUS REVALIDATING THE GENUS AND SPECIES. SCIADOCEPHALUS MEGALODISCUS IS RECORDED FROM THE PARANA RIVER FOR THE FIRST TIME."",""REGO AA, 1999, J HELMINTHOL SOC WASH"",NA";;;;;;;;;;;;;;;;;
